"","WhatsApp","control","curso_verificacion","curso","verificacion","curso_pooled","verificacion_pooled","blockid1","edad","gender","education","journalist","knowledge_verify","know_to_verify","know_fact_checkers_sum","freq_use_whats","freq_use_social","fuentes_principales_sum","cuentas_social_infor_sum_1","cuentas_social_infor_sum_2","cuentas_social_infor_sum_3","freq_desc_comp","freq_analyze","freq_veri_compar","knowledge_verify_end","recent_cases_sum_end","know_to_verify_end","know_fact_checkers_sum_end","fuentes_principales_sum_end","cuentas_social_infor_Nontrad_end","cuentas_social_infor_trad_end","freq_desc_comp_end","cree_falsa_do_1_end","cree_falsa_do_3_end","cree_falsa_do_4_end","freq_analyze_end","freq_veri_compar_end","cree_falsa_do_index_end","cuentas_social_infor_Nontrad","cuentas_social_infor_trad","freq_tipos_1","freq_tipos_2","freq_tipos_3","freq_tipos_4","freq_tipos_5","freq_tipos_6","confia_1","confia_2","confia_3","confia_4","confia_5","confia_6","knowledge_plat_1","knowledge_plat_2","knowledge_plat_3","knowledge_plat_4","knowledge_plat_5","knowledge_plat_6","problemas_1","problemas_2","problemas_3","problemas_4","problemas_5","problemas_6","characts_false_1","characts_false_2","characts_false_3","characts_false_4","characts_false_5","characts_false_6","characts_false_7","characts_false_8","characts_false_9","characts_false_10","forms_verify_1","forms_verify_2","forms_verify_3","forms_verify_4","forms_verify_5","forms_verify_6","case1_hyp_2","case2_hyp_2","case3_hyp_2","case1_hyp_1","case2_hyp_1","case3_hyp_1","freq_tipos_1_end","freq_tipos_2_end","freq_tipos_3_end","freq_tipos_4_end","freq_tipos_5_end","freq_tipos_6_end","confia_1_end","confia_2_end","confia_3_end","confia_4_end","confia_5_end","confia_6_end","freq_plat_false_1_end","freq_plat_false_2_end","freq_plat_false_3_end","freq_plat_false_4_end","freq_plat_false_5_end","freq_plat_false_6_end","knowledge_plat_1_end","knowledge_plat_2_end","knowledge_plat_3_end","knowledge_plat_4_end","knowledge_plat_5_end","knowledge_plat_6_end","problemas_1_end","problemas_2_end","problemas_3_end","problemas_4_end","problemas_5_end","problemas_6_end","characts_false_1_end","characts_false_2_end","characts_false_3_end","characts_false_4_end","characts_false_5_end","characts_false_6_end","characts_false_7_end","characts_false_8_end","characts_false_9_end","characts_false_10_end","forms_verify_1_end","forms_verify_2_end","forms_verify_3_end","forms_verify_4_end","forms_verify_5_end","forms_verify_6_end","case1_hyp_2_end","case2_hyp_2_end","case3_hyp_2_end","case1_hyp_1_end","case2_hyp_1_end","case3_hyp_1_end","case1_hyp_3_end","case2_hyp_3_end","case3_hyp_3_end","temas_2","temas_2_end","freq_plat_false_9_end","confia_9_end","avoid_mis_1_end","avoid_mis_2_end","knowledge_plat_11_end","avoid_mis_4_end","freq_tipos_9_end","avoid_mis_3_end","freq_plat_false_1","freq_plat_false_2","freq_plat_false_3","freq_plat_false_4","freq_plat_false_5","freq_plat_false_6","freq_tipos_7_end","freq_tipos_8_end","confia_7_end","confia_8_end","freq_plat_false_7_end","freq_plat_false_8_end","knowledge_plat_9_end","knowledge_plat_10_end","edad25","edad35","edad45","edad55","edu7","edu8","edu9","edu10","consumption_baseline","trust_baseline","false_baseline","characts_index","knowledge_identify_baseline","index_mec_importance_baseline","forms_index","index_know_verify_baseline","hyp_sharing_index","index_sharing_baseline","ver_beh_baseline","index_false_trust_baseline","trust_end","false_end","index_false_trust","index_mec_importance_end","characts_index_end","forms_index_end","index_mec_attention","index_know_identify","index_know_verify","index_consumption","index_sharing","index_verifying","false_traditional_end","false_social_end","trust_traditional_baseline","trust_social_baseline","trust_traditional_end","trust_social_end","consumption_traditional_baseline","consumption_social_baseline","consumption_traditional_end","consumption_social_end","Age","Edu","weight1","weight2"
"1",0,1,0,0,0,0,0,"26_a",28,1,9,0,2,2,1,6,6,0,1,0,4,3,3,3,3,2,3,1,1,0,1,3,0,1,0,3,3,0.0797952827119486,2,0,4,3,6,6,6,5,1,2,2,2,2,3,1,1,1,1,1,1,5,5,5,5,5,5,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,4,4,4,4,4,5,3,5,5,3,5,4,1,2,4,2,2,3,4,4,3,4,4,3,1,1,1,1,1,1,5,5,5,5,5,5,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,4,4,4,4,1,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,-0.7251326509142,-1.36296592384281,0.211314893400341,-0.2,-1.9674420321308,0.627595122767267,0.666666666666667,-0.570430369865759,2.62435314844389,-1.98820793955773,-1.17196545361898,-1.10815300769127,-0.111447120482636,-0.70135022262348,0.554402353863841,0.609943275416287,0.4,0.666666666666667,-1.11133996491052,-0.959076844212382,-0.265981377496095,0.370090844902553,-2.23732857297589,-0.868240892191538,-1.4890691833522,0.348638942268664,-1.82165482603568,0.154647214893541,-0.642058862948338,-0.0291651364626065,0.120661449081132,-1.06718863992948,0.323912753750623,0.12747768002765,"18-35","Above Tertiary",0.550291666468578,0.271685108884129
"2",0,1,0,0,0,0,0,"36_a",25,0,9,0,5,5,2,6,6,3,1,0,4,5,4,4,5,2,4,2,0,0,2,5,0,0,1,4,5,0.169530653116859,1,4,5,2,3,2,6,3,3,2,1,1,1,1,0,0,1,1,1,1,5,5,5,5,5,5,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,4,3,3,1,1,5,2,5,3,6,4,4,3,4,5,5,5,3,2,4,4,4,4,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,5,4,4,2,1,2,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,-0.477819041522658,0.265446192766127,-1.78900313551065,0.6,1.14210541179726,0.627595122767267,0.666666666666667,1.56868165949835,0.102548097270276,1.18548733431169,-0.0367771585863697,-0.48056309232956,-2.19860764778416,0.418238744860887,-2.0926785639675,-3.16883233706214,0.4,0.666666666666667,0.122593857040489,0.786604164063397,0.652626743639463,-0.181042834820034,0.465046941341975,1.28146784088163,-0.699848643805987,1.22039610019566,-1.58028022188684,1.80923996143622,0.638232945114517,-3.41403253280793,-0.969618265265223,0.584991470242929,-0.0465057103940819,-0.306573358712511,"18-35","Above Tertiary",0.550291666468578,0.271685108884129
"3",0,0,0,0,1,0,1,"1_a",22,1,8,0,2,2,0,6,4,0,0,0,5,3,3,3,3,0,2,0,3,0,5,1,0,1,0,3,3,0.0797952827119486,0,5,5,4,6,4,6,5,4,5,1,2,2,2,0,0,1,0,1,0,1,2,2,1,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,2,2,2,5,5,5,5,5,6,5,6,5,4,3,2,3,3,4,4,3,3,3,3,1,1,0,0,0,0,5,5,5,5,5,5,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,4,2,1,3,2,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0.342519242276952,-0.0445344972941958,-0.29503342863247,0.2,-1.4596582755157,-3.14886186018971,0.333333333333333,-1.51083994719909,1.50661693755686,-1.08036038193424,-1.17196545361898,-0.269499459237887,0.187212495537637,-2.03411503492483,2.03819410872093,0.609943275416287,0.2,0,-1.11133996491052,-1.79854356766743,-2.26103063723059,-0.339578201818988,-1.22674974860861,-0.868240892191538,-1.4890691833522,-1.24367742153623,-0.324570057996033,0.608464228552303,0.795931098380261,-0.484326189094072,0.77251439460101,-0.581525888406982,0.897288883204629,-1.27332429105683,"18-35","Above Tertiary",0.550291666468578,0.271685108884129
"4",0,0,1,0,0,1,1,"22_a",38,1,8,1,3,3,0,6,5,0,0,0,5,2,3,3,4,1,4,3,5,0,5,3,0,1,0,4,4,0.0797952827119486,0,1,5,6,6,5,5,2,5,3,3,2,2,3,0,0,1,1,1,1,5,5,5,5,3,5,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,3,2,3,1,2,3,4,4,4,5,5,4,5,3,3,3,4,4,2,2,3,3,4,3,0,0,1,1,1,0,5,5,5,5,5,5,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,5,4,4,2,2,1,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0,0,1.97325081751221,0.779064284092901,-0.79063521099946,0.6,0.306404952659685,0.127395936037516,0,-1.46232995227,-0.0337196407516984,-0.419493459468387,-1.17196545361898,0.468128889949524,-1.22168288952424,0.764581479182094,-1.09665493551327,0.609943275416287,0.6,0,0.122593857040489,-0.252709311291822,-0.0263099930674662,-0.348406889261587,0.277590685443632,0.206613474345045,0.517269175989966,0.521544575356764,0.473726412683916,0.154647214893541,0.416299986033321,-1.75721165059503,1.4747951962174,0.658874692602718,-0.0329709429012693,-0.384613820654641,"36+","Above Tertiary",0.707183333078768,0.607432188658205
"5",0,0,1,0,0,1,1,"28_a",41,0,10,0,3,3,0,6,5,3,0,0,5,5,5,5,3,2,3,2,3,3,1,4,0,0,1,5,5,0.169530653116859,0,1,6,4,5,1,5,6,1,1,1,2,3,3,0,1,1,0,0,0,5,4,5,5,5,5,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,5,5,5,5,2,2,6,6,6,1,6,6,4,3,4,1,4,4,2,2,2,5,4,3,0,0,1,0,0,0,3,3,5,5,5,5,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,2,1,2,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,1.1778686200924,-2.65743275846336,1.21326499780014,0.4,-2.31474678246915,0.316103773900418,0.666666666666667,-0.409157485026492,1.71101854458982,-0.114067446107537,1.09841113644624,-1.88871686226905,-0.394042660742037,0.437731494140579,-2.40739232208366,-0.233893410373542,-0.2,0.666666666666667,1.35652767899149,-1.93901275064508,0.131523024395908,1.19666401769253,0.145602732554548,1.28146784088163,1.3204821284788,-1.39460730094984,-2.62184609658716,-0.279304518228272,0.638232945114517,-0.989340809171161,0.726609653229413,0.268490981392885,1.82754870931053,-0.427146578091259,"36+","Above Tertiary",0.707183333078768,0.607432188658205
"6",0,0,0,1,0,1,0,"14_a",23,1,9,0,3,3,0,6,6,4,1,1,2,2,4,3,4,0,4,1,3,0,3,2,1,0,0,4,5,0.218872156190839,3,1,5,6,6,3,6,3,4,5,4,1,2,3,0,1,0,0,1,0,5,5,5,5,5,5,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,3,2,1,4,1,1,3,4,2,3,6,3,3,4,3,1,4,2,3,2,3,4,3,4,0,0,1,1,1,1,3,5,5,5,5,5,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,5,4,5,2,2,1,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,1.72597195656925,1.51697894677578,-1.79616749528787,0.2,-0.497234890018221,0.627595122767267,0.333333333333333,-0.935743718648245,0.661416202713788,-0.997850350312155,-1.17196545361898,0.616797112581051,-0.16993286309947,0.656925979957473,-0.0527991370705072,0.178725577676055,0.6,1,0.122593857040489,0.290058220241093,0.793342911046927,-1.17365333263055,-0.13395299802978,1.28146784088163,0.103364308682846,0.972606979792299,1.19409108180962,0.467654200996882,0.195490634569651,-0.121762832856043,1.4747951962174,0.34216009448168,-0.977606134653589,0.00975900131800809,"18-35","Above Tertiary",0.550291666468578,0.271685108884129
"7",0,0,0,1,0,1,0,"11_a",27,0,9,0,3,3,0,6,6,2,1,1,2,2,5,5,3,0,3,0,4,2,3,1,1,0,0,3,3,0.218872156190839,4,0,5,4,3,4,6,4,4,4,3,3,4,3,0,0,1,0,1,0,4,5,4,5,4,5,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,3,3,2,1,1,1,4,4,6,3,5,4,4,4,4,3,3,3,3,2,3,4,4,3,0,0,1,0,0,0,2,5,4,3,4,5,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,3,3,3,1,2,2,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,-0.63842831644355,-0.671069886242292,-1.29340135314366,0.2,-1.04180804594691,-0.0632939572202494,1,0.11742874859526,-1.01518811361675,0.363920986123086,1.09841113644624,-1.11965360838896,0.34561475396344,-0.0290662527598659,-0.0449315361866572,-0.50094331091595,0.4,0.666666666666667,-1.11133996491052,-1.71145880139101,-0.663485779388098,0.86116135656765,-0.371960415804556,-0.868240892191538,0.103364308682846,-0.290078848511648,0.393899811258145,-1.02626323745342,1.01786405746146,-0.868261609806006,-0.267337463648838,-0.241098584843275,0.624976184124047,0.12747768002765,"18-35","Above Tertiary",0.550291666468578,0.271685108884129
"8",0,1,0,0,0,0,0,"12_a",27,1,9,0,5,4,1,6,5,5,1,0,4,2,5,4,3,3,4,2,5,0,5,3,0,0,1,4,5,0.169530653116859,2,0,4,5,5,1,6,6,5,4,2,2,2,4,0,0,0,1,1,0,5,5,5,5,5,5,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,5,5,5,1,1,1,5,6,5,5,6,6,3,5,2,2,2,4,3,3,4,3,4,3,0,0,1,1,1,0,4,4,5,5,5,4,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,5,5,5,1,1,1,2,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0.474906215791144,-0.0696602656974847,1.21326499780014,0.2,1.27806187915834,0.627595122767267,1,1.10634832085768,-1.01518811361675,0.363920986123086,-0.0367771585863697,0.443112466325391,-0.439526846884035,-0.449940737798544,1.039626036525,0.0226817811340114,0.2,1,0.122593857040489,-0.648397402409206,1.19084731293893,-0.369293127864181,0.691610540244511,1.28146784088163,-1.28911295616995,0.81444960392654,0.261476923364957,-0.299169798765222,0.0529685559300891,-0.462954124620166,0.476324964614235,-0.193459064686943,1.21188708107087,-1.45132957945584,"18-35","Above Tertiary",0.550291666468578,0.271685108884129
"9",0,0,0,1,0,1,0,"23_a",34,0,11,0,3,3,3,5,5,5,1,0,4,3,5,5,3,1,3,2,5,2,0,1,0,0,1,4,4,0.169530653116859,1,1,3,6,5,3,5,4,4,2,5,1,1,2,0,1,1,1,1,0,2,1,5,1,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,2,4,2,1,2,1,5,5,4,3,5,4,2,4,2,1,2,2,2,2,3,4,4,3,0,0,0,1,1,0,4,5,4,5,5,4,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,3,4,3,2,4,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,1,1.03035123294633,2.59546060824582,-1.79258531539926,0.4,-1.01048421665663,-2.16679440448236,0.666666666666667,0.832312546108236,-1.01518811361675,0.940392288060453,1.09841113644624,1.77144906151101,0.0618172815381135,0.359635274719963,-0.883122431451833,0.152778954342427,0.2,0.333333333333333,0.122593857040489,0.160196836833517,-0.406697544903558,0.656662913602741,-1.2047375065401,0.206613474345045,0.517269175989966,-0.290078848511648,0.818398789896064,1.35542294777746,-0.626882788322156,0.788559272406888,0.526752820710742,0.463682836997802,0.568315319691971,0.12747768002765,"18-35","Above Tertiary",0.550291666468578,0.271685108884129
"10",0,0,0,1,0,1,0,"26_a",28,1,11,0,3,2,0,6,6,5,1,0,4,3,5,4,3,2,3,1,5,1,0,1,0,0,1,4,4,0.169530653116859,1,0,6,6,4,5,6,6,5,5,3,4,4,4,1,1,0,0,1,1,1,2,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,5,2,4,2,5,2,6,6,2,4,6,5,4,4,1,1,2,3,2,2,5,5,4,4,0,0,0,1,1,1,5,5,5,5,5,5,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,5,5,5,2,2,2,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,1,-0.135839036187033,-0.751293464622957,0.710498855655937,0.2,-0.486975782076962,-3.70892674066237,0.666666666666667,-0.984253713577335,0.034414228259289,0.0947612864529698,-0.0367771585863697,-0.369215441486311,-0.485675805911998,0.550547909132348,-0.513507610908219,0.609943275416287,-0.2,0.333333333333333,0.122593857040489,0.660732336183379,-0.804201946795561,-0.628157825531646,-0.812729893807734,0.206613474345045,-1.0891567289877,1.68620825788787,1.06166819391644,-1.79308723721553,-0.548595515498047,0.354770284249328,1.08227316876252,-1.16478456773194,0.511654455259894,-0.878951469084177,"18-35","Above Tertiary",0.550291666468578,0.271685108884129
